body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-0.189335,-0.052375,0.094501
-0.168075,-0.036307,0.066853
-0.125557,-0.004237,0.011517
-0.053164,-0.001714,0.014442
-0.016967,-0.000446,0.015905
-0.000643,0.017216,-0.035871
-0.001319,0.019630,-0.027144
-0.002666,0.024458,-0.009689
-0.000180,0.022319,-0.015813
0.001062,0.021249,-0.018875
0.005889,0.029543,-0.003506
0.006064,0.024574,-0.013790
0.006407,0.014635,-0.034358
0.010267,0.026027,-0.019135
0.012200,0.031722,-0.011524
0.013306,0.026391,-0.020541
0.012400,0.029691,-0.019266
0.010592,0.036291,-0.016714
0.010110,0.022199,-0.025405
0.009867,0.015153,-0.029752
-0.007357,0.030319,0.029066
-0.004417,0.022896,0.014494
0.001458,0.008051,-0.014651
0.003486,0.022820,-0.010788
0.004501,0.030203,-0.008856
-0.000085,0.008691,-0.007864
-0.004424,0.006565,-0.007847
-0.013102,0.002312,-0.007812
-0.013146,0.006535,0.017483
-0.013167,0.008648,0.030130
0.015634,-0.000428,-0.055407
0.011283,-0.001733,-0.045127
0.002580,-0.004342,-0.024566
-0.006479,0.001490,-0.008753
-0.011008,0.004407,-0.000846
0.027038,0.025414,-0.017242
0.011243,0.015235,0.002407
-0.020340,-0.005127,0.041708
-0.004561,-0.000808,0.008565
0.003328,0.001352,-0.008006
-0.015236,0.001731,0.046103
-0.005890,0.008274,0.032724
0.012796,0.021365,0.005963
-0.002704,0.008050,0.001286
-0.010454,0.001393,-0.001051
-0.003194,0.019118,-0.011534
-0.000937,0.018707,-0.015138
0.003577,0.017883,-0.022346
-0.006378,-0.013273,-0.009394
-0.011359,-0.028850,-0.002918
-0.000943,-0.011079,-0.006798
-0.000332,-0.006993,-0.007865
0.000891,0.001179,-0.009999
0.006425,0.004201,-0.010856
0.009192,0.005712,-0.011284
-0.013094,0.007805,-0.015881
-0.002826,0.003712,-0.023958
0.017706,-0.004481,-0.040113
0.008531,0.001637,-0.023507
0.003944,0.004696,-0.015203
0.011280,0.008249,-0.034092
0.012709,0.011455,-0.030925
0.015570,0.017864,-0.024593
0.016543,0.012795,-0.031000
0.017028,0.010262,-0.034205
0.021512,0.006497,-0.007818
0.023877,0.001866,-0.013815
0.028608,-0.007395,-0.025812
0.010956,-0.005709,-0.004421
0.002129,-0.004867,0.006273
-0.002689,0.010701,0.008805
-0.004911,0.011834,0.002600
-0.009358,0.014100,-0.009809
-0.003057,0.009530,0.008023
0.000094,0.007245,0.016938
-0.007098,0.017683,0.006830
-0.012632,0.010317,0.004668
-0.023699,-0.004416,0.000345
-0.019925,-0.001992,0.016875
-0.018038,-0.000777,0.025139
0.007362,0.006498,0.002305
-0.000893,0.008240,0.006926
-0.017402,0.011722,0.016169
-0.026608,0.003531,0.018528
-0.031210,-0.000564,0.019709
-0.007515,0.018171,0.022149
-0.010887,0.007676,0.023936
-0.017627,-0.013316,0.027513
-0.016562,0.010449,0.023795
-0.016033,0.022331,0.021934
-0.012284,-0.003404,0.026660
-0.015884,-0.003268,0.034376
-0.023084,-0.002995,0.049809
-0.020530,-0.000613,0.032549
-0.019253,0.000576,0.023919
-0.009733,-0.020770,0.022677
-0.006574,-0.018218,0.011008
-0.000252,-0.013116,-0.012330
0.002614,-0.021890,-0.009806
0.004047,-0.026277,-0.008543
-0.016092,-0.024340,0.032196
-0.007822,-0.029649,0.018450
0.008728,-0.040267,-0.009038
-0.003787,-0.028581,0.005524
-0.010046,-0.022739,0.012804
0.021300,-0.043547,-0.030965
0.010256,-0.032592,-0.016215
-0.011838,-0.010682,0.013282
-0.002994,-0.014307,0.008557
0.001429,-0.016119,0.006196
-0.003000,-0.025306,0.002346
-0.001150,-0.024500,0.002160
0.002550,-0.022887,0.001789
-0.007190,-0.017722,0.019990
-0.012062,-0.015139,0.029090
-0.004215,-0.024972,0.015863
-0.011163,-0.015866,0.016066
-0.025061,0.002346,0.016468
-0.015555,-0.009442,0.006372
-0.010801,-0.015336,0.001326
-0.027912,-0.043680,0.047290
-0.024115,-0.035352,0.034304
-0.016517,-0.018699,0.008331
-0.026598,-0.012900,0.043884
-0.031643,-0.009997,0.061659
-0.009273,-0.008685,0.006202
-0.008484,-0.003959,0.021756
-0.006911,0.005498,0.052862
-0.010942,-0.001254,0.028447
-0.012957,-0.004632,0.016239
-0.013791,0.007652,0.038580
-0.011548,0.009274,0.031124
-0.007064,0.012518,0.016210
-0.022867,-0.009037,0.034628
-0.030766,-0.019815,0.043838
-0.007320,-0.007672,-0.001612
-0.002437,-0.007517,-0.015889
0.007331,-0.007208,-0.044442
-0.016074,-0.000645,0.000485
-0.027776,0.002640,0.022949
-0.016596,-0.013404,0.009197
-0.014687,-0.017628,0.001241
-0.010866,-0.026079,-0.014668
-0.015450,-0.021418,-0.010401
-0.017742,-0.019087,-0.008268
-0.029593,-0.018220,0.028786
-0.023622,-0.018135,0.014176
-0.011675,-0.017968,-0.015043
-0.003624,-0.013166,0.003653
0.000400,-0.010764,0.013001
-0.021792,-0.010320,0.021454
-0.026739,-0.007375,0.030379
-0.036638,-0.001482,0.048228
-0.029665,-0.014995,0.024970
-0.026175,-0.021754,0.013343
0.004950,0.004073,-0.020124
0.002500,-0.015310,-0.021369
-0.002408,-0.054074,-0.023861
-0.008352,-0.010658,-0.009481
-0.011323,0.011052,-0.002293
-0.001059,-0.011403,-0.015230
0.000106,-0.010789,-0.012510
0.002437,-0.009562,-0.007071
0.002857,-0.010900,-0.014490
0.003067,-0.011568,-0.018200
-0.016460,-0.014624,-0.028071
-0.002020,-0.017665,-0.039604
0.026862,-0.023760,-0.062664
0.014066,0.005408,-0.044555
0.007676,0.019993,-0.035498
-0.002452,-0.009505,-0.036158
-0.002412,-0.002451,-0.034951
-0.002326,0.011656,-0.032536
0.008247,0.010593,-0.040752
0.013532,0.010060,-0.044861
-0.002677,-0.001122,-0.036972
0.002705,-0.003089,-0.038774
0.013468,-0.007026,-0.042378
0.007755,-0.005050,-0.014841
0.004898,-0.004062,-0.001072
0.004551,-0.022043,-0.021182
0.004293,-0.016308,-0.023483
0.003778,-0.004837,-0.028083
0.006487,-0.006555,-0.007252
0.007840,-0.007415,0.003164
-0.003733,-0.014739,-0.069721
-0.002142,-0.012406,-0.040445
0.001035,-0.007739,0.018107
-0.004629,-0.005385,-0.041334
-0.007459,-0.004208,-0.071055
-0.008110,-0.010393,0.002576
-0.004377,-0.007615,-0.009631
0.003092,-0.002060,-0.034045
-0.001640,-0.011685,-0.004819
-0.004008,-0.016498,0.009794
-0.000711,-0.000204,-0.053017
0.004979,-0.004143,-0.049065
0.016354,-0.012029,-0.041161
-0.000206,0.000179,-0.031585
-0.008485,0.006286,-0.026797
0.011941,0.005784,-0.024618
0.002108,0.004022,-0.025963
-0.017560,0.000504,-0.028653
0.007429,-0.005407,-0.020909
0.019923,-0.008365,-0.017036
-0.022793,0.004095,-0.039551
-0.017749,0.002926,-0.015676
-0.007661,0.000596,0.032074
-0.017124,0.000814,-0.010200
-0.021857,0.000919,-0.031337
-0.033435,0.003820,0.053189
-0.024622,0.001755,0.021576
-0.006994,-0.002385,-0.041649
0.007569,0.003355,-0.036218
0.014852,0.006222,-0.033502
