body_0_vel_x,body_0_vel_y,body_0_vel_z
0.002030,-0.001374,-0.100034
-0.053215,0.036416,-0.086921
-0.163704,0.111997,-0.060695
-0.052176,0.013954,-0.019335
0.003588,-0.035067,0.001345
0.000685,0.044005,0.006838
0.004402,0.013845,0.008767
0.011835,-0.046475,0.012626
-0.010716,0.006552,0.009453
-0.021992,0.033066,0.007866
0.042925,-0.058440,0.010917
0.021975,-0.028608,0.008032
-0.019924,0.031056,0.002264
0.001353,-0.025850,0.007896
0.011992,-0.054303,0.010713
0.025975,0.014208,0.002246
0.009611,0.003781,0.003767
-0.023116,-0.017071,0.006809
0.016130,-0.020438,0.006120
0.035752,-0.022121,0.005776
-0.019131,0.023158,0.006804
-0.004530,0.000731,0.006574
0.024672,-0.044122,0.006114
-0.004758,0.005511,0.000849
-0.019473,0.030327,-0.001783
0.024717,-0.034162,0.005574
0.012100,-0.013952,0.003598
-0.013136,0.026467,-0.000354
0.018086,-0.018651,0.000005
0.033697,-0.041209,0.000184
-0.016844,0.017929,-0.002734
0.001542,0.005891,-0.000995
0.038313,-0.018184,0.002482
-0.011791,-0.003513,-0.007210
-0.036844,0.003823,-0.012056
0.054028,-0.006827,-0.000837
0.023722,-0.006723,-0.002583
-0.036889,-0.006513,-0.006074
0.019204,-0.001356,0.005357
0.047250,0.001223,0.011072
-0.032078,-0.001544,0.006343
-0.005620,-0.003689,0.006207
0.047298,-0.007979,0.005937
-0.002717,0.009253,0.007029
-0.027725,0.017869,0.007575
0.032121,-0.030306,-0.001745
0.017540,-0.008781,-0.000888
-0.011623,0.034271,0.000826
0.004082,-0.016492,0.002629
0.011934,-0.041873,0.003530
0.009145,0.039784,0.015412
0.005462,0.012703,0.012962
-0.001903,-0.041460,0.008061
0.001855,0.012668,0.000082
0.003733,0.039732,-0.003907
-0.001371,-0.036599,0.009064
0.001751,-0.009906,0.006332
0.007996,0.043479,0.000867
-0.002644,-0.010365,0.000210
-0.007965,-0.037288,-0.000118
0.021962,0.041455,0.003449
0.007492,0.019532,0.000739
-0.021448,-0.024315,-0.004683
0.014722,0.011380,0.001073
0.032806,0.029227,0.003952
-0.031828,-0.009846,-0.002927
-0.006346,-0.007080,-0.002765
0.044620,-0.001550,-0.002441
-0.011745,0.009516,0.000798
-0.039928,0.015049,0.002418
0.039650,-0.024175,-0.009423
0.017770,-0.005645,0.000637
-0.025991,0.031416,0.020759
0.002626,-0.014679,-0.003095
0.016934,-0.037726,-0.015022
-0.006651,0.030849,0.004588
-0.003427,0.009910,0.007257
0.003020,-0.031968,0.012596
-0.000249,0.005683,-0.011491
-0.001883,0.024509,-0.023534
0.003740,-0.036049,0.030969
0.000376,-0.010108,0.015310
-0.006352,0.041775,-0.016007
0.002410,-0.008232,-0.000260
0.006792,-0.033235,0.007614
-0.020532,0.028760,0.016776
-0.008653,0.018729,0.003190
0.015104,-0.001332,-0.023983
0.003359,-0.017703,0.001515
-0.002514,-0.025888,0.014264
-0.014929,0.034549,-0.000356
-0.000193,0.016751,-0.007885
0.029279,-0.018844,-0.022944
-0.018100,0.000455,0.008511
-0.041789,0.010105,0.024238
0.036740,0.004133,-0.030411
0.008845,0.001053,-0.013670
-0.046944,-0.005107,0.019811
0.008054,0.015324,-0.011310
0.035553,0.025539,-0.026870
-0.047091,-0.019720,-0.002736
-0.020408,-0.003451,-0.004037
0.032960,0.029089,-0.006639
-0.022780,0.003859,-0.018799
-0.050650,-0.008756,-0.024878
0.038564,0.015292,0.013869
0.006675,0.007178,-0.001065
-0.057103,-0.009050,-0.030933
0.011493,-0.000701,0.004140
0.045792,0.003473,0.021676
-0.053517,-0.001790,-0.014902
-0.022921,-0.001984,-0.009357
0.038271,-0.002372,0.001734
-0.029567,-0.005840,0.010400
-0.063486,-0.007575,0.014732
0.009962,-0.012702,-0.034030
0.000240,-0.003966,-0.008234
-0.019205,0.013505,0.043357
-0.013853,-0.011157,-0.018589
-0.011177,-0.023488,-0.049562
-0.011981,0.017824,0.047768
-0.012095,0.002556,0.032142
-0.012323,-0.027981,0.000889
-0.013362,-0.014087,-0.009705
-0.013881,-0.007140,-0.015002
-0.000932,0.030101,0.025599
-0.003849,0.001438,0.013581
-0.009683,-0.055887,-0.010455
0.004164,0.011200,0.009182
0.011088,0.044744,0.019001
-0.016227,-0.049043,-0.015058
-0.003673,-0.021883,-0.002870
0.021434,0.032437,0.021506
-0.014174,-0.016381,-0.010306
-0.031978,-0.040789,-0.026212
0.030627,0.030384,0.032963
0.009872,0.011334,0.017956
-0.031639,-0.026768,-0.012057
-0.000573,0.015508,-0.003336
0.014961,0.036645,0.001025
-0.012080,-0.038821,0.025213
-0.006164,-0.014041,0.008535
0.005666,0.035519,-0.024819
-0.000981,-0.010653,0.022746
-0.004305,-0.033740,0.046529
0.005387,0.016602,-0.037975
-0.002281,0.003285,-0.012236
-0.017615,-0.023348,0.039241
0.006523,0.003705,-0.011740
0.018592,0.017232,-0.037231
-0.010897,-0.035403,0.028743
-0.012094,-0.015271,0.011457
-0.014487,0.024993,-0.023115
0.004712,-0.009810,0.005952
0.014311,-0.027211,0.020485
-0.035964,0.013717,-0.013350
-0.013034,0.006692,-0.003374
0.032826,-0.007357,0.016580
-0.020412,-0.006835,-0.008579
-0.047030,-0.006574,-0.021159
0.036098,0.009094,0.022110
0.011185,0.002622,0.004135
-0.038640,-0.010321,-0.031815
-0.008636,0.002802,0.015259
0.006366,0.009363,0.038795
0.003355,0.010426,-0.042288
-0.001227,0.003253,-0.016125
-0.010392,-0.011092,0.036199
0.007364,0.019135,-0.011827
0.016241,0.034248,-0.035840
-0.009121,-0.025700,0.038835
-0.000367,-0.011137,0.010226
0.017140,0.017990,-0.046992
0.004607,0.006055,0.015632
-0.001660,0.000088,0.046944
0.019774,-0.022915,-0.034563
0.009006,-0.002753,-0.015816
-0.012529,0.037571,0.021678
0.017450,-0.016699,0.002874
0.032440,-0.043833,-0.006528
-0.019812,0.035068,-0.006047
0.000738,0.011380,-0.004062
0.041836,-0.035994,-0.000091
0.007092,-0.001948,0.013258
-0.010281,0.015075,0.019932
0.021919,-0.026332,-0.037796
0.019186,-0.011991,-0.010307
0.013721,0.016691,0.044671
0.016293,-0.009281,-0.010613
0.017580,-0.022267,-0.038255
-0.002712,0.021971,0.029544
0.009139,0.001891,0.014533
0.032840,-0.038269,-0.015489
0.009424,-0.005999,-0.008715
-0.002283,0.010136,-0.005329
0.029632,-0.011561,0.024923
0.020285,-0.011494,0.003631
0.001589,-0.011359,-0.038955
0.019521,0.001565,0.014032
0.028487,0.008028,0.040525
0.004550,-0.025563,-0.037594
0.010075,-0.012954,-0.013731
0.021125,0.012264,0.033994
0.011537,-0.008318,-0.013464
0.006743,-0.018608,-0.037193
0.025054,-0.009050,0.031189
0.016644,0.000171,0.012486
-0.000177,0.018614,-0.024920
0.007369,-0.019670,-0.000731
0.011142,-0.038812,0.011364
-0.000610,0.037101,-0.007555
0.003606,0.011642,-0.007625
0.012038,-0.039275,-0.007764
0.009954,0.011921,0.013626
0.008912,0.037520,0.024320
