body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.676164
0.000041,-0.000027,0.674163
-0.001024,0.000701,0.672425
-0.004298,0.002941,0.671211
-0.005341,0.003220,0.670824
-0.005270,0.002519,0.670851
-0.005256,0.003399,0.670988
-0.005168,0.003676,0.671163
-0.004931,0.002746,0.671416
-0.005145,0.002877,0.671605
-0.005585,0.003538,0.671762
-0.004727,0.002370,0.671981
-0.004287,0.001797,0.672141
-0.004686,0.002419,0.672186
-0.004659,0.001902,0.672344
-0.004419,0.000815,0.672559
-0.003899,0.001100,0.672604
-0.003707,0.001175,0.672679
-0.004169,0.000834,0.672815
-0.003847,0.000425,0.672937
-0.003132,-0.000017,0.673053
-0.003514,0.000446,0.673189
-0.003605,0.000460,0.673321
-0.003112,-0.000422,0.673443
-0.003207,-0.000312,0.673460
-0.003596,0.000295,0.673424
-0.003102,-0.000388,0.673536
-0.002860,-0.000667,0.673608
-0.003123,-0.000138,0.673600
-0.002761,-0.000511,0.673601
-0.002087,-0.001335,0.673604
-0.002424,-0.000977,0.673550
-0.002393,-0.000859,0.673530
-0.001627,-0.001223,0.673579
-0.001863,-0.001293,0.673435
-0.002599,-0.001216,0.673194
-0.001519,-0.001353,0.673177
-0.001044,-0.001487,0.673126
-0.001782,-0.001618,0.673004
-0.001398,-0.001645,0.673111
-0.000453,-0.001620,0.673333
-0.001095,-0.001651,0.673460
-0.001207,-0.001725,0.673584
-0.000261,-0.001885,0.673702
-0.000315,-0.001700,0.673843
-0.000870,-0.001342,0.673994
-0.000228,-0.001948,0.673960
0.000123,-0.002124,0.673942
-0.000109,-0.001438,0.673958
-0.000028,-0.001768,0.674011
0.000211,-0.002606,0.674082
0.000394,-0.001810,0.674390
0.000503,-0.001556,0.674649
0.000465,-0.002385,0.674810
0.000502,-0.002132,0.674812
0.000577,-0.001337,0.674734
0.000550,-0.002069,0.674915
0.000585,-0.002267,0.675042
0.000745,-0.001398,0.675059
0.000692,-0.001605,0.675063
0.000532,-0.002351,0.675061
0.000972,-0.001522,0.675130
0.001121,-0.001131,0.675145
0.000692,-0.001617,0.675051
0.000987,-0.001390,0.675072
0.001643,-0.000805,0.675151
0.001006,-0.001002,0.675093
0.000880,-0.001144,0.675038
0.001772,-0.001175,0.674989
0.001537,-0.000984,0.675005
0.000738,-0.000683,0.675053
0.001531,-0.001167,0.674865
0.001887,-0.001280,0.674877
0.001367,-0.000651,0.675293
0.001420,-0.000945,0.675231
0.001758,-0.001700,0.674930
0.001625,-0.001083,0.675022
0.001557,-0.000884,0.675167
0.001617,-0.001524,0.675419
0.001612,-0.001410,0.675189
0.001574,-0.000920,0.674718
0.001649,-0.001641,0.675338
0.001657,-0.001843,0.675644
0.001530,-0.001008,0.675324
0.001578,-0.001172,0.675319
0.001714,-0.001837,0.675471
0.001303,-0.001262,0.675807
0.001130,-0.000887,0.675870
0.001432,-0.000914,0.675391
0.001499,-0.001268,0.675421
0.001449,-0.001786,0.675706
0.001150,-0.001095,0.675699
0.001147,-0.000760,0.675541
0.001732,-0.001136,0.675083
0.001370,-0.001127,0.675253
0.000534,-0.000925,0.675738
0.001269,-0.000843,0.675129
0.001446,-0.000822,0.674856
0.000507,-0.000924,0.675252
0.000668,-0.000617,0.675026
0.001379,-0.000106,0.674489
0.000438,-0.000501,0.674434
0.000029,-0.000570,0.674353
0.000689,0.000012,0.674220
0.000233,0.000089,0.673844
-0.000780,-0.000086,0.673347
-0.000009,0.000220,0.673624
0.000125,0.000363,0.673603
-0.001017,0.000182,0.672984
-0.000787,0.000168,0.673067
0.000128,0.000238,0.673500
-0.000942,0.000202,0.673202
-0.001400,0.000162,0.673015
-0.000635,0.000115,0.673050
-0.001226,-0.000002,0.673258
-0.002496,-0.000153,0.673553
-0.002297,-0.000407,0.672872
-0.002292,-0.000487,0.672707
-0.002676,-0.000217,0.673574
-0.002953,-0.000440,0.673203
-0.003177,-0.000909,0.672211
-0.003416,-0.000553,0.673167
-0.003658,-0.000502,0.673810
-0.003905,-0.001061,0.673827
-0.004172,-0.001343,0.673633
-0.004449,-0.001486,0.673333
-0.004468,-0.000884,0.673845
-0.004545,-0.000855,0.674117
-0.004739,-0.001973,0.673908
-0.004655,-0.001749,0.674091
-0.004434,-0.000854,0.674471
-0.004758,-0.001835,0.674170
-0.004832,-0.002273,0.674113
-0.004403,-0.001624,0.674543
-0.004686,-0.001951,0.674337
-0.005326,-0.002767,0.673813
-0.004714,-0.002160,0.674472
-0.004516,-0.001933,0.674831
-0.005149,-0.002468,0.674590
-0.005160,-0.002158,0.674523
-0.004861,-0.001425,0.674544
-0.005103,-0.002202,0.675048
-0.005226,-0.002482,0.675219
-0.005113,-0.001772,0.674722
-0.005132,-0.001985,0.675177
-0.005218,-0.002660,0.676108
-0.005111,-0.002328,0.675348
-0.005156,-0.002262,0.675103
-0.005509,-0.002729,0.675888
-0.005378,-0.002655,0.675653
-0.005006,-0.002310,0.674909
-0.005224,-0.003018,0.675484
-0.005466,-0.003324,0.675713
-0.005756,-0.002824,0.675251
-0.005662,-0.003020,0.675370
-0.005375,-0.003564,0.675779
-0.006095,-0.003290,0.675512
-0.006355,-0.003156,0.675445
-0.005699,-0.003303,0.675776
-0.006107,-0.003440,0.675605
-0.007048,-0.003572,0.675182
-0.006326,-0.003390,0.675624
-0.006102,-0.003337,0.675707
-0.006875,-0.003544,0.675070
-0.007047,-0.003488,0.675375
-0.006920,-0.003300,0.676151
-0.006853,-0.003092,0.675306
-0.006878,-0.003027,0.674983
-0.007085,-0.003249,0.675707
-0.006938,-0.002866,0.675471
-0.006613,-0.002181,0.674754
-0.006796,-0.002695,0.675530
-0.006803,-0.002918,0.675735
-0.006460,-0.002558,0.674795
-0.006368,-0.002437,0.675108
-0.006401,-0.002435,0.676047
-0.006006,-0.002893,0.675355
-0.005826,-0.002948,0.675039
-0.006076,-0.002197,0.675473
-0.005727,-0.002531,0.675530
-0.005079,-0.003408,0.675399
-0.005475,-0.002706,0.675279
-0.005460,-0.002479,0.675197
-0.004623,-0.003199,0.675195
-0.004481,-0.003238,0.675461
-0.004687,-0.002936,0.675859
-0.004249,-0.003463,0.675103
-0.003865,-0.003702,0.674897
-0.003591,-0.003369,0.675791
-0.003265,-0.003554,0.675578
-0.002913,-0.004000,0.674813
-0.002967,-0.003560,0.675404
-0.002785,-0.003522,0.675695
-0.002128,-0.004288,0.675385
-0.001939,-0.004408,0.675211
-0.001985,-0.004205,0.675104
-0.001392,-0.004436,0.675603
-0.000987,-0.004666,0.675675
-0.000955,-0.004893,0.674896
-0.000564,-0.004862,0.675177
0.000005,-0.004701,0.675987
0.000096,-0.005213,0.675235
0.000298,-0.005472,0.674961
0.000720,-0.005227,0.675641
0.000951,-0.005393,0.675371
0.001086,-0.005765,0.674627
0.001587,-0.005946,0.675251
0.001920,-0.005943,0.675501
0.001916,-0.005570,0.675003
0.002064,-0.005964,0.674988
0.002287,-0.006740,0.675215
0.002274,-0.005998,0.675064
0.002346,-0.005765,0.674912
0.002587,-0.006551,0.674756
0.002786,-0.006312,0.675029
0.002965,-0.005562,0.675515
0.003163,-0.006285,0.674946
0.003260,-0.006557,0.674734
0.003153,-0.005927,0.675237
0.003086,-0.006106,0.675032
0.003039,-0.006689,0.674473
0.003309,-0.006321,0.675066
0.003321,-0.006081,0.675259
0.002815,-0.006097,0.674653
0.002843,-0.006418,0.674887
0.003137,-0.006890,0.675540
0.002681,-0.006435,0.675087
0.002437,-0.006348,0.674976
0.002617,-0.006993,0.675550
0.002067,-0.007001,0.675523
0.001152,-0.006689,0.675194
0.001478,-0.006697,0.675451
0.001324,-0.006742,0.675645
0.000207,-0.006857,0.675714
0.000120,-0.006885,0.675759
0.000547,-0.006870,0.675792
-0.000520,-0.007076,0.676102
-0.001159,-0.007134,0.676228
-0.000942,-0.006896,0.675984
-0.001254,-0.007183,0.676163
-0.001832,-0.007732,0.676554
-0.001684,-0.007187,0.676575
-0.001603,-0.007124,0.676577
-0.001656,-0.008024,0.676542
-0.002118,-0.007815,0.676695
-0.002784,-0.007051,0.676943
-0.002450,-0.007475,0.676716
-0.002627,-0.007626,0.676559
-0.003826,-0.007233,0.676544
-0.003575,-0.007219,0.676512
-0.002600,-0.007395,0.676471
-0.003585,-0.007436,0.676336
-0.004027,-0.007363,0.676217
-0.003384,-0.007061,0.676131
-0.003684,-0.007095,0.676068
-0.004455,-0.007298,0.676018
-0.003667,-0.006761,0.675968
-0.003331,-0.006552,0.675972
-0.003901,-0.006998,0.676083
-0.003843,-0.006951,0.676129
-0.003471,-0.006658,0.676141
-0.003413,-0.006801,0.676247
-0.003530,-0.006693,0.676278
-0.003997,-0.006081,0.676162
-0.003817,-0.006393,0.676236
-0.003313,-0.007167,0.676405
-0.003580,-0.006340,0.676386
-0.003723,-0.006126,0.676345
-0.003618,-0.007139,0.676261
-0.003582,-0.006808,0.676350
-0.003582,-0.005805,0.676527
-0.003607,-0.006696,0.676322
-0.003620,-0.006947,0.676234
-0.003609,-0.005917,0.676381
-0.003404,-0.006173,0.676235
-0.003103,-0.007073,0.675943
-0.003536,-0.006485,0.676113
-0.003534,-0.006201,0.676155
-0.002663,-0.006527,0.675944
-0.002935,-0.006810,0.675849
-0.003778,-0.007073,0.675814
-0.002886,-0.006740,0.675958
-0.002446,-0.006701,0.675913
-0.002911,-0.007252,0.675485
-0.002848,-0.006886,0.675484
-0.002522,-0.006062,0.675695
-0.002266,-0.006985,0.675618
-0.002218,-0.007388,0.675492
-0.002583,-0.006752,0.675270
-0.002240,-0.006893,0.675369
-0.001544,-0.007422,0.675630
-0.002218,-0.007358,0.675423
-0.002312,-0.007341,0.675262
-0.001244,-0.007420,0.675192
-0.001434,-0.007572,0.675364
-0.002253,-0.007761,0.675655
-0.001320,-0.008157,0.675425
-0.000888,-0.008287,0.675311
-0.001459,-0.007882,0.675433
-0.001277,-0.008283,0.675537
