body_0_w,body_0_x,body_0_y,body_0_z
0.997459,-0.067397,0.023019,0.001555
0.997340,-0.069308,0.022435,0.002419
0.997228,-0.071000,0.022031,0.003023
0.997139,-0.072255,0.021984,0.003107
0.997100,-0.072788,0.021958,0.003238
0.997088,-0.072961,0.021943,0.003393
0.997084,-0.072959,0.022141,0.003048
0.997080,-0.072966,0.022356,0.002791
0.997073,-0.072989,0.022607,0.002712
0.997068,-0.072987,0.022841,0.002570
0.997064,-0.072971,0.023067,0.002398
0.997062,-0.072911,0.023364,0.002386
0.997061,-0.072847,0.023619,0.002267
0.997063,-0.072775,0.023790,0.001937
0.997064,-0.072667,0.024063,0.001768
0.997066,-0.072542,0.024387,0.001679
0.997069,-0.072404,0.024665,0.001496
0.997071,-0.072275,0.024975,0.001329
0.997070,-0.072165,0.025349,0.001191
0.997072,-0.072057,0.025588,0.000956
0.997075,-0.071951,0.025761,0.000673
0.997062,-0.072032,0.026042,0.000983
0.997052,-0.072080,0.026260,0.001143
0.997052,-0.072061,0.026351,0.001003
0.997048,-0.072023,0.026586,0.000913
0.997043,-0.071976,0.026894,0.000847
0.997041,-0.071974,0.026986,0.000775
0.997036,-0.072016,0.027057,0.000700
0.997026,-0.072145,0.027086,0.000621
0.997015,-0.072281,0.027139,0.000796
0.997003,-0.072420,0.027203,0.001099
0.997014,-0.072249,0.027239,0.000551
0.997023,-0.072124,0.027254,0.000103
0.997026,-0.072092,0.027228,-0.000145
0.997021,-0.072154,0.027250,-0.000233
0.997012,-0.072264,0.027294,-0.000241
0.997024,-0.071989,0.027560,-0.000387
0.997028,-0.071878,0.027710,-0.000349
0.997015,-0.072092,0.027629,0.000057
0.997012,-0.072140,0.027615,0.000141
0.997014,-0.072105,0.027634,0.000063
0.997003,-0.072269,0.027618,0.000520
0.996996,-0.072337,0.027677,0.000850
0.996999,-0.072211,0.027886,0.000929
0.996995,-0.072238,0.027965,0.000947
0.996987,-0.072342,0.027980,0.000934
0.996979,-0.072371,0.028179,0.000832
0.996973,-0.072375,0.028376,0.000695
0.996971,-0.072333,0.028571,0.000486
0.996970,-0.072394,0.028445,0.000381
0.996970,-0.072507,0.028160,0.000327
0.996973,-0.072514,0.028054,0.000251
0.996974,-0.072515,0.027990,0.000168
0.996975,-0.072504,0.028009,0.000069
0.996978,-0.072437,0.028059,-0.000034
0.996983,-0.072342,0.028124,-0.000140
0.996972,-0.072468,0.028213,-0.000296
0.996968,-0.072489,0.028268,-0.000533
0.996982,-0.072302,0.028252,-0.000931
0.996988,-0.072210,0.028285,-0.001162
0.996989,-0.072166,0.028343,-0.001309
0.996994,-0.072044,0.028450,-0.001640
0.997000,-0.071909,0.028587,-0.001936
0.997005,-0.071747,0.028783,-0.002164
0.997013,-0.071573,0.028933,-0.002460
0.997021,-0.071394,0.029060,-0.002788
0.997034,-0.071177,0.029131,-0.002855
0.997050,-0.070935,0.029161,-0.002985
0.997072,-0.070642,0.029106,-0.003239
0.997081,-0.070532,0.029053,-0.003284
0.997084,-0.070512,0.029000,-0.003224
0.997079,-0.070542,0.029100,-0.003130
0.997073,-0.070592,0.029216,-0.003097
0.997061,-0.070683,0.029363,-0.003187
0.997057,-0.070716,0.029453,-0.003102
0.997055,-0.070720,0.029513,-0.002928
0.997045,-0.070794,0.029684,-0.002849
0.997033,-0.070921,0.029783,-0.002799
0.997018,-0.071157,0.029738,-0.002806
0.997005,-0.071361,0.029706,-0.002645
0.996993,-0.071548,0.029680,-0.002400
0.996996,-0.071476,0.029743,-0.002370
0.996993,-0.071487,0.029820,-0.002296
0.996977,-0.071666,0.029925,-0.002131
0.996958,-0.071936,0.029946,-0.001952
0.996936,-0.072253,0.029926,-0.001765
0.996925,-0.072335,0.030091,-0.001533
0.996915,-0.072451,0.030150,-0.001293
0.996907,-0.072635,0.029997,-0.001033
0.996892,-0.072807,0.030084,-0.000793
0.996874,-0.072974,0.030290,-0.000563
0.996866,-0.073104,0.030237,-0.000304
0.996855,-0.073273,0.030179,0.000032
0.996839,-0.073518,0.030113,0.000519
0.996824,-0.073733,0.030083,0.000837
0.996809,-0.073932,0.030071,0.001070
0.996808,-0.074036,0.029848,0.001278
0.996808,-0.074105,0.029658,0.001372
0.996812,-0.074104,0.029536,0.001239
0.996821,-0.074075,0.029325,0.001126
0.996832,-0.074033,0.029070,0.001023
0.996826,-0.074203,0.028803,0.001321
0.996829,-0.074286,0.028494,0.001481
0.996847,-0.074197,0.028099,0.001363
0.996852,-0.074237,0.027810,0.001396
0.996850,-0.074341,0.027574,0.001504
0.996879,-0.074121,0.027163,0.001169
0.996895,-0.074015,0.026850,0.000986
0.996889,-0.074136,0.026734,0.001107
0.996891,-0.074169,0.026585,0.001181
0.996896,-0.074156,0.026420,0.001231
0.996900,-0.074187,0.026166,0.001235
0.996906,-0.074199,0.025920,0.001238
0.996914,-0.074175,0.025690,0.001239
0.996912,-0.074252,0.025499,0.001424
0.996907,-0.074380,0.025326,0.001699
0.996910,-0.074426,0.025066,0.001838
0.996905,-0.074542,0.024896,0.001983
0.996885,-0.074796,0.024907,0.002143
0.996876,-0.074952,0.024809,0.002196
0.996872,-0.075061,0.024655,0.002195
0.996860,-0.075352,0.024185,0.002627
0.996850,-0.075601,0.023807,0.002936
0.996841,-0.075768,0.023615,0.003001
0.996823,-0.076044,0.023454,0.003422
0.996799,-0.076374,0.023309,0.004022
0.996793,-0.076469,0.023218,0.004075
0.996787,-0.076558,0.023162,0.004287
0.996778,-0.076639,0.023177,0.004816
0.996768,-0.076755,0.023143,0.005096
0.996759,-0.076888,0.023085,0.005252
0.996744,-0.077034,0.023132,0.005639
0.996731,-0.077156,0.023201,0.005954
0.996722,-0.077229,0.023314,0.006123
0.996704,-0.077466,0.023198,0.006456
0.996682,-0.077784,0.022969,0.006871
0.996678,-0.077857,0.022894,0.006847
0.996679,-0.077878,0.022832,0.006682
0.996689,-0.077796,0.022794,0.006235
0.996677,-0.077956,0.022788,0.006236
0.996653,-0.078238,0.022799,0.006460
0.996643,-0.078406,0.022659,0.006538
0.996635,-0.078554,0.022483,0.006533
0.996633,-0.078661,0.022235,0.006364
0.996626,-0.078814,0.022031,0.006240
0.996617,-0.078990,0.021848,0.006139
0.996596,-0.079292,0.021646,0.006405
0.996580,-0.079532,0.021456,0.006526
0.996576,-0.079646,0.021289,0.006360
0.996575,-0.079684,0.021155,0.006385
0.996577,-0.079683,0.021038,0.006506
0.996560,-0.079906,0.020919,0.006707
0.996538,-0.080179,0.020823,0.006998
0.996506,-0.080554,0.020772,0.007470
0.996483,-0.080856,0.020605,0.007701
0.996465,-0.081121,0.020379,0.007810
0.996470,-0.081068,0.020436,0.007614
0.996477,-0.081040,0.020300,0.007389
0.996487,-0.081063,0.019781,0.007107
0.996483,-0.081145,0.019683,0.007003
0.996472,-0.081256,0.019796,0.006986
0.996475,-0.081265,0.019695,0.006825
0.996478,-0.081262,0.019597,0.006692
0.996482,-0.081237,0.019508,0.006614
0.996487,-0.081206,0.019411,0.006461
0.996493,-0.081173,0.019310,0.006271
0.996484,-0.081333,0.019188,0.005976
0.996488,-0.081346,0.019044,0.005567
0.996518,-0.081068,0.018857,0.004928
0.996530,-0.080919,0.018946,0.004491
0.996534,-0.080835,0.019174,0.004155
0.996536,-0.080853,0.019109,0.003787
0.996535,-0.080870,0.019113,0.003436
0.996532,-0.080887,0.019255,0.003121
0.996538,-0.080796,0.019393,0.002725
0.996548,-0.080652,0.019530,0.002289
0.996547,-0.080672,0.019548,0.001919
0.996551,-0.080637,0.019549,0.001530
0.996563,-0.080495,0.019513,0.001105
0.996571,-0.080415,0.019474,0.000955
0.996575,-0.080366,0.019435,0.000942
0.996584,-0.080317,0.019232,0.000714
0.996590,-0.080270,0.019088,0.000467
0.996594,-0.080227,0.019062,0.000184
0.996601,-0.080161,0.019003,0.000108
0.996608,-0.080083,0.018926,0.000135
0.996608,-0.080107,0.018835,-0.000572
0.996608,-0.080121,0.018744,-0.000986
0.996611,-0.080114,0.018653,-0.000811
0.996608,-0.080152,0.018632,-0.001228
0.996601,-0.080213,0.018647,-0.001941
0.996597,-0.080294,0.018541,-0.001925
0.996595,-0.080336,0.018473,-0.002028
0.996597,-0.080299,0.018480,-0.002369
0.996597,-0.080314,0.018367,-0.002426
0.996597,-0.080355,0.018195,-0.002343
0.996596,-0.080353,0.018235,-0.002871
0.996599,-0.080294,0.018234,-0.003363
0.996613,-0.080123,0.018147,-0.003780
0.996611,-0.080119,0.018174,-0.004094
0.996602,-0.080199,0.018258,-0.004358
0.996609,-0.080076,0.018336,-0.004597
0.996609,-0.080050,0.018397,-0.004852
0.996594,-0.080220,0.018424,-0.005140
0.996599,-0.080142,0.018387,-0.005351
0.996616,-0.079940,0.018319,-0.005524
0.996595,-0.080160,0.018390,-0.005919
0.996579,-0.080334,0.018431,-0.006076
0.996575,-0.080417,0.018410,-0.005758
0.996560,-0.080585,0.018426,-0.005862
0.996540,-0.080797,0.018459,-0.006177
0.996516,-0.081141,0.018452,-0.005650
0.996497,-0.081390,0.018450,-0.005439
0.996489,-0.081452,0.018460,-0.005857
0.996492,-0.081370,0.018523,-0.006214
0.996501,-0.081216,0.018614,-0.006540
0.996499,-0.081221,0.018741,-0.006478
0.996496,-0.081266,0.018778,-0.006294
0.996491,-0.081389,0.018635,-0.005862
0.996490,-0.081411,0.018599,-0.005762
0.996492,-0.081383,0.018617,-0.005828
0.996484,-0.081511,0.018572,-0.005529
0.996479,-0.081591,0.018561,-0.005237
0.996481,-0.081571,0.018619,-0.004956
0.996482,-0.081546,0.018744,-0.004799
0.996482,-0.081517,0.018902,-0.004702
0.996486,-0.081410,0.019189,-0.004527
0.996487,-0.081348,0.019423,-0.004399
0.996482,-0.081374,0.019550,-0.004366
0.996486,-0.081287,0.019680,-0.004510
0.996494,-0.081142,0.019811,-0.004743
0.996493,-0.081076,0.020134,-0.004878
0.996487,-0.081065,0.020438,-0.004970
0.996473,-0.081166,0.020704,-0.004974
0.996457,-0.081343,0.020791,-0.004940
0.996440,-0.081558,0.020788,-0.004886
0.996428,-0.081634,0.020917,-0.005518
0.996413,-0.081736,0.021035,-0.006086
0.996396,-0.081889,0.021130,-0.006527
0.996388,-0.081968,0.021226,-0.006389
0.996386,-0.082008,0.021322,-0.005963
0.996374,-0.082056,0.021588,-0.006316
0.996364,-0.082097,0.021791,-0.006600
0.996360,-0.082122,0.021867,-0.006745
0.996356,-0.082178,0.021749,-0.007011
0.996352,-0.082249,0.021534,-0.007339
0.996349,-0.082340,0.021356,-0.007215
0.996339,-0.082511,0.021177,-0.007205
0.996314,-0.082839,0.020996,-0.007423
0.996318,-0.082797,0.020936,-0.007580
0.996336,-0.082569,0.020936,-0.007706
0.996340,-0.082575,0.020728,-0.007578
0.996334,-0.082706,0.020547,-0.007544
0.996303,-0.083086,0.020419,-0.007696
0.996305,-0.083136,0.020224,-0.007522
0.996321,-0.083020,0.019994,-0.007186
0.996306,-0.083190,0.020003,-0.007385
0.996299,-0.083264,0.019968,-0.007590
0.996309,-0.083145,0.019846,-0.007806
