joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.834543,0.050929,0.082452,0.749655,-0.532995,0.298029,0.247234,-0.356108,0.128575,0.748158,0.119864,-0.586885,0.528886,-0.115661,0.012660,1.807357,-0.668305,-0.104666,0.261800,0.517944,-0.548329,0.830914,0.721595,-0.046956,0.226897,0.155302,0.048396,0.274263,-0.277873
-0.860600,0.049049,-0.033365,0.753829,-0.531346,0.219390,0.223929,-0.355559,0.144629,0.781080,0.129390,-0.313049,0.268726,-0.131153,0.007830,2.073843,-0.725742,-0.106020,0.261800,0.701639,-0.278359,1.179081,0.988682,-0.165977,0.332253,0.000689,-0.063491,0.188361,-0.225839
-0.883710,0.033496,-0.119662,0.755539,-0.535027,0.184822,0.203071,-0.346731,0.167084,0.805584,0.158169,-0.108941,0.072683,-0.140581,-0.002561,2.251500,-0.795095,-0.106738,0.261800,0.852325,-0.091889,1.443881,1.175014,-0.241673,0.405162,-0.102575,-0.135768,0.134344,-0.185241
-0.900927,-0.009404,-0.146918,0.752320,-0.549369,0.238398,0.187108,-0.321343,0.202340,0.813253,0.225454,-0.044288,0.004877,-0.137883,-0.024074,2.251500,-0.888281,-0.106183,0.261800,0.936994,-0.072418,1.541950,1.199838,-0.230719,0.413178,-0.103141,-0.128824,0.144097,-0.167513
-0.906554,-0.024128,-0.153779,0.751407,-0.553915,0.262285,0.181909,-0.313024,0.214133,0.815729,0.249255,-0.002426,-0.022702,-0.137452,-0.032241,2.251500,-0.927379,-0.106084,0.261800,0.989336,-0.064442,1.587662,1.216306,-0.224921,0.417967,-0.108647,-0.126550,0.147487,-0.157708
-0.906386,-0.024764,-0.150443,0.751646,-0.553564,0.271328,0.182092,-0.313239,0.214196,0.815610,0.251313,0.028042,-0.030169,-0.138157,-0.033735,2.251500,-0.939431,-0.106213,0.261800,1.025515,-0.062214,1.607197,1.228596,-0.221703,0.421144,-0.116623,-0.126610,0.147696,-0.151864
-0.906419,-0.025576,-0.145908,0.751872,-0.553383,0.276814,0.182257,-0.313605,0.211313,0.815132,0.250818,0.053359,-0.028153,-0.137902,-0.033430,2.251500,-0.945752,-0.106105,0.261800,1.053346,-0.064887,1.616143,1.234462,-0.220007,0.423641,-0.120583,-0.128001,0.148727,-0.148490
-0.906182,-0.026086,-0.141244,0.752004,-0.553228,0.281783,0.182759,-0.314139,0.208024,0.814118,0.250256,0.077312,-0.024798,-0.137454,-0.033158,2.251500,-0.951255,-0.105963,0.261800,1.079393,-0.068293,1.623421,1.239064,-0.218460,0.425769,-0.123851,-0.129351,0.149882,-0.146006
-0.905407,-0.025990,-0.136320,0.751949,-0.553126,0.285718,0.183932,-0.315011,0.203924,0.812030,0.249561,0.098533,-0.018765,-0.136616,-0.032952,2.251500,-0.955121,-0.105751,0.261800,1.101875,-0.073166,1.627362,1.241141,-0.217212,0.427160,-0.125737,-0.130622,0.151287,-0.145302
-0.904734,-0.026086,-0.131509,0.752222,-0.552970,0.288804,0.184816,-0.315511,0.200041,0.810624,0.249266,0.117862,-0.012142,-0.135953,-0.032731,2.251500,-0.957939,-0.105543,0.261800,1.122298,-0.078484,1.630100,1.241963,-0.216684,0.428053,-0.126899,-0.131583,0.152728,-0.145068
-0.904113,-0.026278,-0.126754,0.752659,-0.552787,0.291464,0.185555,-0.315827,0.196265,0.809559,0.249171,0.136244,-0.005225,-0.135377,-0.032502,2.251500,-0.960231,-0.105337,0.261800,1.141690,-0.084024,1.632236,1.242158,-0.216516,0.428699,-0.127699,-0.132390,0.154186,-0.145069
