joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-1.302831,-0.093993,-5.790846,0.208708,0.082469,-3.931994,-1.165268,0.027434,0.802732,1.646095,0.476301,13.691787,-13.008029,-0.774613,-0.241492,13.324277,-2.871841,-0.067725,0.000000,9.184749,13.498504,17.408311,13.354352,-5.951058,5.267776,-7.730642,-5.594369,-4.295100,2.601670
-1.155511,-0.777656,-4.314833,0.085495,-0.184051,-1.728398,-1.042894,0.441422,1.122747,1.225208,1.438948,10.205406,-9.802119,-0.471426,-0.519550,8.882852,-3.467665,-0.035888,0.000000,7.534313,9.323517,13.240019,9.316633,-3.784793,3.645451,-5.163191,-3.613854,-2.700857,2.029911
-0.860869,-2.144983,-1.362808,-0.160931,-0.717090,2.678795,-0.798146,1.269397,1.762775,0.383434,3.364242,3.232646,-3.390301,0.134949,-1.075667,0.000000,-4.659314,0.027787,0.000000,4.233440,0.973544,4.903436,1.241194,0.547737,0.400802,-0.028288,0.347176,0.487631,0.886394
-0.281348,-0.736186,-0.343054,-0.045658,-0.227317,1.194375,-0.259955,0.415951,0.589673,0.123820,1.190040,2.093119,-1.378980,0.021507,-0.408348,0.000000,-1.954867,0.004949,0.000000,2.617113,0.398781,2.285628,0.823394,0.289858,0.239477,-0.275298,0.113722,0.169515,0.490263
0.008413,-0.031787,0.166824,0.011979,0.017570,0.452166,0.009141,-0.010772,0.003122,-0.005987,0.102938,1.523356,-0.373320,-0.035213,-0.074688,0.000000,-0.602644,-0.006470,0.000000,1.808950,0.111400,0.976725,0.614494,0.160918,0.158815,-0.398804,-0.003005,0.010457,0.292197
-0.001631,-0.040618,0.226738,0.011285,0.009044,0.274293,0.008265,-0.018271,-0.144156,-0.023875,-0.024775,1.265891,0.100782,0.012719,0.015251,0.000000,-0.316032,0.005383,0.000000,1.391537,-0.133633,0.447317,0.293283,0.084794,0.124870,-0.197993,-0.069541,0.051527,0.168712
0.011835,-0.025489,0.233211,0.006604,0.007730,0.248450,0.025065,-0.026708,-0.164431,-0.050718,-0.028105,1.197613,0.167745,0.022432,0.013600,0.000000,-0.275131,0.007115,0.000000,1.302389,-0.170308,0.363897,0.230137,0.077333,0.106419,-0.163418,-0.067529,0.057772,0.124200
0.038765,0.004770,0.246156,-0.002757,0.005100,0.196762,0.058664,-0.043581,-0.204980,-0.104402,-0.034765,1.061058,0.301673,0.041859,0.010298,0.000000,-0.193330,0.010581,0.000000,1.124092,-0.243660,0.197057,0.103844,0.062411,0.069516,-0.094270,-0.063505,0.070262,0.035178
0.033634,-0.004803,0.240556,0.013645,0.007800,0.154262,0.044185,-0.025039,-0.194191,-0.070295,-0.014749,0.966438,0.331128,0.033151,0.011060,0.000000,-0.140862,0.010402,0.000000,1.021122,-0.265887,0.136884,0.041114,0.026406,0.044681,-0.058109,-0.048065,0.072018,0.011695
0.031069,-0.009589,0.237755,0.021846,0.009150,0.133012,0.036945,-0.015768,-0.188797,-0.053242,-0.004740,0.919128,0.345855,0.028798,0.011442,0.000000,-0.114629,0.010313,0.000000,0.969636,-0.277000,0.106798,0.009749,0.008403,0.032263,-0.040028,-0.040344,0.072896,-0.000046
